"GHO (CODE),GHO (DISPLAY),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),Numeric,Value,Low,High"
"TB_hivtest_pct,TB patients with known HIV status (%),2020,2020,2020,AFR,Africa,KEN,Kenya,99,99,,"
"TB_c_tbhiv_tsr,Treatment success rate: HIV-positive TB cases,2016,2016,2016,AFR,Africa,KEN,Kenya,77,77,,"
"TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),2012,2012,2012,AFR,Africa,KEN,Kenya,179,179 [69-341],69,341"
"TB_1,Tuberculosis treatment coverage,2004,2004,2004,AFR,Africa,KEN,Kenya,46,46 [20-190],20,190"
"TB_1,Tuberculosis treatment coverage,2007,2007,2007,AFR,Africa,KEN,Kenya,45,45 [20-180],20,180"
"TB_e_inc_num,Number of incident tuberculosis cases,2009,2009,2009,AFR,Africa,KEN,Kenya,229000,229 000 [68 000-484 000],68000,484000"
"TB_c_mdr_tsr,Treatment success rate for patients treated for MDR-TB (%),2017,2017,2017,AFR,Africa,KEN,Kenya,70,70,,"
"TB_c_new_tsr,Treatment success rate: new TB cases,2009,2009,2009,AFR,Africa,KEN,Kenya,84,84,,"
"TB_c_ret_tsr,Treatment success rate: previously treated TB cases,2016,2016,2016,AFR,Africa,KEN,Kenya,70,70,,"
"TB_c_tbhiv_tsr,Treatment success rate: HIV-positive TB cases,2011,2011,2011,AFR,Africa,KEN,Kenya,82,82,,"
"TB_1,Tuberculosis treatment coverage,2013,2013,2013,AFR,Africa,KEN,Kenya,45,45 [24-110],24,110"
"TB_c_newinc,Tuberculosis - new and relapse cases,2010,2010,2010,AFR,Africa,KEN,Kenya,99272,99272,,"
"TB_c_dst_rlt_ret_pct,Previously treated cases tested for RR-/MDR-TB (%),2015,2015,2015,AFR,Africa,KEN,Kenya,40,40,,"
"TB_hivtest_pos_pct,Tested TB patients HIV-positive (%),2023,2023,2023,AFR,Africa,KEN,Kenya,26,26,,"
"TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),2020,2020,2020,AFR,Africa,KEN,Kenya,63,63 [40-90],40,90"
"TB_rr_mdr,Confirmed cases of RR-/MDR-TB,2022,2022,2022,AFR,Africa,KEN,Kenya,244,244,,"
"TB_c_dst_rlt_ret_pct,Previously treated cases tested for RR-/MDR-TB (%),2012,2012,2012,AFR,Africa,KEN,Kenya,13,13,,"
"MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),2010,2010,2010,AFR,Africa,KEN,Kenya,531,531 [174-1080],174,1080"
"TB_c_newinc,Tuberculosis - new and relapse cases,2003,2003,2003,AFR,Africa,KEN,Kenya,94183,94183,,"
"TB_c_new_tsr,Treatment success rate: new TB cases,2020,2020,2020,AFR,Africa,KEN,Kenya,85,85,,"
"TB_hiv_art_pct,HIV-positive TB patients on ART (antiretroviral therapy) (%),2006,2006,2006,AFR,Africa,KEN,Kenya,43,43,,"
"TB_c_newinc,Tuberculosis - new and relapse cases,2014,2014,2014,AFR,Africa,KEN,Kenya,88025,88025,,"
"TB_e_inc_num,Number of incident tuberculosis cases,2001,2001,2001,AFR,Africa,KEN,Kenya,158000,158 000 [56 000-310 000],56000,310000"
"TB_c_mdr_tsr,Treatment success rate for patients treated for MDR-TB (%),2019,2019,2019,AFR,Africa,KEN,Kenya,73,73,,"
"TB_rr_mdr,Confirmed cases of RR-/MDR-TB,2017,2017,2017,AFR,Africa,KEN,Kenya,390,390,,"
"TB_c_new_tsr,Treatment success rate: new TB cases,2017,2017,2017,AFR,Africa,KEN,Kenya,83,83,,"
"TB_hivtest_pos_pct,Tested TB patients HIV-positive (%),2005,2005,2005,AFR,Africa,KEN,Kenya,57,57,,"
"TB_c_newinc,Tuberculosis - new and relapse cases,2017,2017,2017,AFR,Africa,KEN,Kenya,83599,83599,,"
"TB_hivtest_pct,TB patients with known HIV status (%),2004,2004,2004,AFR,Africa,KEN,Kenya,19,19,,"
"TB_c_mdr_tsr,Treatment success rate for patients treated for MDR-TB (%),2015,2015,2015,AFR,Africa,KEN,Kenya,73,73,,"
"TB_c_ret_tsr,Treatment success rate: previously treated TB cases,2011,2011,2011,AFR,Africa,KEN,Kenya,82,82,,"
"TB_hivtest_pos_pct,Tested TB patients HIV-positive (%),2004,2004,2004,AFR,Africa,KEN,Kenya,60,60,,"
"TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),2014,2014,2014,AFR,Africa,KEN,Kenya,150,150 [65-271],65,271"
"TB_c_mdr_tx,Cases started on MDR-TB treatment,2010,2010,2010,AFR,Africa,KEN,Kenya,118,118,,"
"TB_rr_mdr,Confirmed cases of RR-/MDR-TB,2019,2019,2019,AFR,Africa,KEN,Kenya,507,507,,"
"TB_c_mdr_tx,Cases started on MDR-TB treatment,2016,2016,2016,AFR,Africa,KEN,Kenya,308,308,,"
"TB_e_inc_tbhiv_num,""Number of incident tuberculosis cases,  (HIV-positive cases)"",2014,2014,2014,AFR,Africa,KEN,Kenya,69000,69 000 [30 000-125 000],30000,125000"
"TB_c_newinc,Tuberculosis - new and relapse cases,2005,2005,2005,AFR,Africa,KEN,Kenya,102680,102680,,"
"MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),2014,2014,2014,AFR,Africa,KEN,Kenya,423,423 [183-761],183,761"
"TB_c_xdr_tsr,Treatment success rate: XDR-TB cases,2021,2021,2021,AFR,Africa,KEN,Kenya,63,63,,"
"TB_c_mdr_tsr,Treatment success rate for patients treated for MDR-TB (%),2021,2021,2021,AFR,Africa,KEN,Kenya,78,78,,"
"TB_e_inc_num,Number of incident tuberculosis cases,2021,2021,2021,AFR,Africa,KEN,Kenya,135000,135 000 [81 000-201 000],81000,201000"
"TB_hivtest_pos_pct,Tested TB patients HIV-positive (%),2019,2019,2019,AFR,Africa,KEN,Kenya,26,26,,"
"TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),2003,2003,2003,AFR,Africa,KEN,Kenya,329,329 [74-770],74,770"
"TB_c_dst_rlt_new_pct,New cases tested for RR-/MDR-TB (%),2009,2009,2009,AFR,Africa,KEN,Kenya,0,0,,"
"MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),2015,2015,2015,AFR,Africa,KEN,Kenya,380,380 [182-651],182,651"
"TB_c_newinc,Tuberculosis - new and relapse cases,2001,2001,2001,AFR,Africa,KEN,Kenya,73017,73017,,"
"TB_hivtest_pct,TB patients with known HIV status (%),2016,2016,2016,AFR,Africa,KEN,Kenya,96,96,,"
"TB_c_newinc,Tuberculosis - new and relapse cases,2013,2013,2013,AFR,Africa,KEN,Kenya,89796,89796,,"
"TB_hiv_art_pct,HIV-positive TB patients on ART (antiretroviral therapy) (%),2021,2021,2021,AFR,Africa,KEN,Kenya,96,96,,"
"TB_c_newinc,Tuberculosis - new and relapse cases,2002,2002,2002,AFR,Africa,KEN,Kenya,80183,80183,,"
"TB_hivtest_pos_pct,Tested TB patients HIV-positive (%),2021,2021,2021,AFR,Africa,KEN,Kenya,24,24,,"
"TB_c_ret_tsr,Treatment success rate: previously treated TB cases,2006,2006,2006,AFR,Africa,KEN,Kenya,79,79,,"
"TB_c_mdr_tsr,Treatment success rate for patients treated for MDR-TB (%),2010,2010,2010,AFR,Africa,KEN,Kenya,82,82,,"
"TB_c_new_tsr,Treatment success rate: new TB cases,2002,2002,2002,AFR,Africa,KEN,Kenya,79,79,,"
"TB_rr_mdr,Confirmed cases of RR-/MDR-TB,2018,2018,2018,AFR,Africa,KEN,Kenya,465,465,,"
"TB_c_ret_tsr,Treatment success rate: previously treated TB cases,2018,2018,2018,AFR,Africa,KEN,Kenya,72,72,,"
"TB_rr_mdr,Confirmed cases of RR-/MDR-TB,2020,2020,2020,AFR,Africa,KEN,Kenya,589,589,,"
"TB_c_dst_rlt_new_pct,New cases tested for RR-/MDR-TB (%),2017,2017,2017,AFR,Africa,KEN,Kenya,83,83,,"
"TB_c_new_tsr,Treatment success rate: new TB cases,2000,2000,2000,AFR,Africa,KEN,Kenya,80,80,,"
"TB_c_ret_tsr,Treatment success rate: previously treated TB cases,2022,2022,2022,AFR,Africa,KEN,Kenya,77,77,,"
"MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),2016,2016,2016,AFR,Africa,KEN,Kenya,348,348 [179-573],179,573"
"TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),2022,2022,2022,AFR,Africa,KEN,Kenya,56,56 [36-81],36,81"
"TB_c_ret_tsr,Treatment success rate: previously treated TB cases,2010,2010,2010,AFR,Africa,KEN,Kenya,79,79,,"
"TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),2002,2002,2002,AFR,Africa,KEN,Kenya,306,306 [87-657],87,657"
"TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),2018,2018,2018,AFR,Africa,KEN,Kenya,79,79 [46-120],46,120"
"TB_e_inc_tbhiv_num,""Number of incident tuberculosis cases,  (HIV-positive cases)"",2004,2004,2004,AFR,Africa,KEN,Kenya,114000,114 000 [23 000-275 000],23000,275000"
"TB_c_newinc,Tuberculosis - new and relapse cases,2022,2022,2022,AFR,Africa,KEN,Kenya,88690,88690,,"
"TB_rr_mdr,Confirmed cases of RR-/MDR-TB,2005,2005,2005,AFR,Africa,KEN,Kenya,44,44,,"
"TB_hivtest_pos_pct,Tested TB patients HIV-positive (%),2012,2012,2012,AFR,Africa,KEN,Kenya,38,38,,"
"TB_e_inc_num,Number of incident tuberculosis cases,2020,2020,2020,AFR,Africa,KEN,Kenya,131000,131 000 [79 000-194 000],79000,194000"
"TB_rr_mdr,Confirmed cases of RR-/MDR-TB,2006,2006,2006,AFR,Africa,KEN,Kenya,89,89,,"
"TB_c_mdr_tx,Cases started on MDR-TB treatment,2014,2014,2014,AFR,Africa,KEN,Kenya,544,544,,"
"TB_c_mdr_tx,Cases started on MDR-TB treatment,2018,2018,2018,AFR,Africa,KEN,Kenya,470,470,,"
"TB_e_inc_rr_num,Estimated number of MDR/RR-TB incident cases,2019,2019,2019,AFR,Africa,KEN,Kenya,1500,1500 [800-2300],800,2300"
"TB_c_mdr_tx,Cases started on MDR-TB treatment,2008,2008,2008,AFR,Africa,KEN,Kenya,28,28,,"
"TB_c_new_tsr,Treatment success rate: new TB cases,1996,1996,1996,AFR,Africa,KEN,Kenya,77,77,,"
"TB_e_inc_num_014,Number of incident tuberculosis cases in children aged 0 - 14,2023,2023,2023,AFR,Africa,KEN,Kenya,18000,18 000 [8100-27 000],8100,27000"
"TB_1,Tuberculosis treatment coverage,2021,2021,2021,AFR,Africa,KEN,Kenya,56,56 [38-94],38,94"
"TB_c_new_tsr,Treatment success rate: new TB cases,2018,2018,2018,AFR,Africa,KEN,Kenya,84,84,,"
"TB_c_tbhiv_tsr,Treatment success rate: HIV-positive TB cases,2018,2018,2018,AFR,Africa,KEN,Kenya,79,79,,"
"MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),2002,2002,2002,AFR,Africa,KEN,Kenya,534,534 [174-1090],174,1090"
"TB_hivtest_pct,TB patients with known HIV status (%),2006,2006,2006,AFR,Africa,KEN,Kenya,60,60,,"
"TB_e_inc_num,Number of incident tuberculosis cases,2015,2015,2015,AFR,Africa,KEN,Kenya,179000,179 000 [86 000-307 000],86000,307000"
"TB_c_mdr_tx,Cases started on MDR-TB treatment,2020,2020,2020,AFR,Africa,KEN,Kenya,601,601,,"
"TB_c_new_tsr,Treatment success rate: new TB cases,2011,2011,2011,AFR,Africa,KEN,Kenya,87,87,,"
"MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),2004,2004,2004,AFR,Africa,KEN,Kenya,634,634 [155-1440],155,1440"
"TB_1,Tuberculosis treatment coverage,2008,2008,2008,AFR,Africa,KEN,Kenya,45,45 [21-150],21,150"
"TB_hiv_art_pct,HIV-positive TB patients on ART (antiretroviral therapy) (%),2022,2022,2022,AFR,Africa,KEN,Kenya,99,99,,"
"TB_c_dst_rlt_new_pct,New cases tested for RR-/MDR-TB (%),2014,2014,2014,AFR,Africa,KEN,Kenya,50,50,,"
"TB_e_inc_tbhiv_num,""Number of incident tuberculosis cases,  (HIV-positive cases)"",2013,2013,2013,AFR,Africa,KEN,Kenya,75000,75 000 [31 000-138 000],31000,138000"
"TB_c_new_tsr,Treatment success rate: new TB cases,2010,2010,2010,AFR,Africa,KEN,Kenya,86,86,,"
"TB_e_inc_tbhiv_num,""Number of incident tuberculosis cases,  (HIV-positive cases)"",2003,2003,2003,AFR,Africa,KEN,Kenya,111000,111 000 [25 000-259 000],25000,259000"
"TB_c_ret_tsr,Treatment success rate: previously treated TB cases,1999,1999,1999,AFR,Africa,KEN,Kenya,74,74,,"
"TB_c_dst_rlt_new_pct,New cases tested for RR-/MDR-TB (%),2022,2022,2022,AFR,Africa,KEN,Kenya,56,56,,"
"TB_c_dst_rlt_new_pct,New cases tested for RR-/MDR-TB (%),2023,2023,2023,AFR,Africa,KEN,Kenya,70,70,,"
"TB_c_new_tsr,Treatment success rate: new TB cases,1999,1999,1999,AFR,Africa,KEN,Kenya,79,79,,"
"TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),2009,2009,2009,AFR,Africa,KEN,Kenya,249,249 [74-527],74,527"
"MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),2006,2006,2006,AFR,Africa,KEN,Kenya,646,646 [153-1490],153,1490"
"TB_c_new_tsr,Treatment success rate: new TB cases,2014,2014,2014,AFR,Africa,KEN,Kenya,87,87,,"
"TB_c_dst_rlt_ret_pct,Previously treated cases tested for RR-/MDR-TB (%),2016,2016,2016,AFR,Africa,KEN,Kenya,42,42,,"
"TB_c_ret_tsr,Treatment success rate: previously treated TB cases,2019,2019,2019,AFR,Africa,KEN,Kenya,73,73,,"
"TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),2007,2007,2007,AFR,Africa,KEN,Kenya,296,296 [76-661],76,661"
"TB_e_inc_num,Number of incident tuberculosis cases,2008,2008,2008,AFR,Africa,KEN,Kenya,221000,221 000 [66 000-467 000],66000,467000"
"TB_c_xdr_tsr,Treatment success rate: XDR-TB cases,2014,2014,2014,AFR,Africa,KEN,Kenya,100,100,,"
"TB_hivtest_pct,TB patients with known HIV status (%),2017,2017,2017,AFR,Africa,KEN,Kenya,96,96,,"
"TB_c_new_tsr,Treatment success rate: new TB cases,2012,2012,2012,AFR,Africa,KEN,Kenya,86,86,,"
"MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),2011,2011,2011,AFR,Africa,KEN,Kenya,506,506 [177-1000],177,1000"
"TB_e_inc_num,Number of incident tuberculosis cases,2003,2003,2003,AFR,Africa,KEN,Kenya,205000,205 000 [54 000-455 000],54000,455000"
"TB_c_xdr_tsr,Treatment success rate: XDR-TB cases,2017,2017,2017,AFR,Africa,KEN,Kenya,0,0,,"
"TB_hivtest_pct,TB patients with known HIV status (%),2019,2019,2019,AFR,Africa,KEN,Kenya,98,98,,"
"TB_e_inc_rr_num,Estimated number of MDR/RR-TB incident cases,2015,2015,2015,AFR,Africa,KEN,Kenya,2300,2300 [710-3900],710,3900"
"TB_c_mdr_tsr,Treatment success rate for patients treated for MDR-TB (%),2020,2020,2020,AFR,Africa,KEN,Kenya,77,77,,"
"TB_c_ret_tsr,Treatment success rate: previously treated TB cases,2017,2017,2017,AFR,Africa,KEN,Kenya,72,72,,"
"TB_1,Tuberculosis treatment coverage,2015,2015,2015,AFR,Africa,KEN,Kenya,45,45 [27-95],27,95"
"TB_c_mdr_tx,Cases started on MDR-TB treatment,2015,2015,2015,AFR,Africa,KEN,Kenya,368,368,,"
"TB_c_dst_rlt_new_pct,New cases tested for RR-/MDR-TB (%),2013,2013,2013,AFR,Africa,KEN,Kenya,0.37,0.37,,"
"TB_c_newinc,Tuberculosis - new and relapse cases,2019,2019,2019,AFR,Africa,KEN,Kenya,84345,84345,,"
"TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),2017,2017,2017,AFR,Africa,KEN,Kenya,91,91 [50-145],50,145"
"MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),2000,2000,2000,AFR,Africa,KEN,Kenya,451,451 [182-839],182,839"
"TB_e_inc_tbhiv_num,""Number of incident tuberculosis cases,  (HIV-positive cases)"",2017,2017,2017,AFR,Africa,KEN,Kenya,45000,45 000 [25 000-71 000],25000,71000"
"TB_1,Tuberculosis treatment coverage,2010,2010,2010,AFR,Africa,KEN,Kenya,45,45 [22-140],22,140"
"TB_c_dst_rlt_new_pct,New cases tested for RR-/MDR-TB (%),2005,2005,2005,AFR,Africa,KEN,Kenya,0,0,,"
"TB_e_inc_num,Number of incident tuberculosis cases,2019,2019,2019,AFR,Africa,KEN,Kenya,137000,137 000 [84 000-203 000],84000,203000"
"TB_hiv_art_pct,HIV-positive TB patients on ART (antiretroviral therapy) (%),2008,2008,2008,AFR,Africa,KEN,Kenya,30,30,,"
"TB_c_ret_tsr,Treatment success rate: previously treated TB cases,1998,1998,1998,AFR,Africa,KEN,Kenya,64,64,,"
"TB_c_xdr_tsr,Treatment success rate: XDR-TB cases,2013,2013,2013,AFR,Africa,KEN,Kenya,0,0,,"
"TB_c_new_tsr,Treatment success rate: new TB cases,2004,2004,2004,AFR,Africa,KEN,Kenya,77,77,,"
"TB_e_inc_tbhiv_num,""Number of incident tuberculosis cases,  (HIV-positive cases)"",2023,2023,2023,AFR,Africa,KEN,Kenya,28000,28 000 [18 000-39 000],18000,39000"
"TB_hivtest_pos_pct,Tested TB patients HIV-positive (%),2017,2017,2017,AFR,Africa,KEN,Kenya,29,29,,"
"TB_e_inc_tbhiv_num,""Number of incident tuberculosis cases,  (HIV-positive cases)"",2012,2012,2012,AFR,Africa,KEN,Kenya,79000,79 000 [30 000-150 000],30000,150000"
"TB_c_ret_tsr,Treatment success rate: previously treated TB cases,1996,1996,1996,AFR,Africa,KEN,Kenya,59,59,,"
"TB_hivtest_pos_pct,Tested TB patients HIV-positive (%),2020,2020,2020,AFR,Africa,KEN,Kenya,25,25,,"
"TB_e_inc_tbhiv_num,""Number of incident tuberculosis cases,  (HIV-positive cases)"",2019,2019,2019,AFR,Africa,KEN,Kenya,36000,36 000 [22 000-53 000],22000,53000"
"TB_hivtest_pct,TB patients with known HIV status (%),2015,2015,2015,AFR,Africa,KEN,Kenya,97,97,,"
"TB_c_dst_rlt_new_pct,New cases tested for RR-/MDR-TB (%),2018,2018,2018,AFR,Africa,KEN,Kenya,64,64,,"
"TB_c_mdr_tx,Cases started on MDR-TB treatment,2023,2023,2023,AFR,Africa,KEN,Kenya,380,380,,"
"TB_e_inc_num,Number of incident tuberculosis cases,2007,2007,2007,AFR,Africa,KEN,Kenya,235000,235 000 [60 000-525 000],60000,525000"
"TB_hiv_art_pct,HIV-positive TB patients on ART (antiretroviral therapy) (%),2013,2013,2013,AFR,Africa,KEN,Kenya,86,86,,"
"TB_e_inc_num,Number of incident tuberculosis cases,2012,2012,2012,AFR,Africa,KEN,Kenya,207000,207 000 [79 000-394 000],79000,394000"
"TB_rr_mdr,Confirmed cases of RR-/MDR-TB,2023,2023,2023,AFR,Africa,KEN,Kenya,388,388,,"
"TB_c_ret_tsr,Treatment success rate: previously treated TB cases,2005,2005,2005,AFR,Africa,KEN,Kenya,77,77,,"
"TB_c_dst_rlt_ret_pct,Previously treated cases tested for RR-/MDR-TB (%),2008,2008,2008,AFR,Africa,KEN,Kenya,48,48,,"
"TB_hiv_art_pct,HIV-positive TB patients on ART (antiretroviral therapy) (%),2009,2009,2009,AFR,Africa,KEN,Kenya,34,34,,"
"TB_rr_mdr,Confirmed cases of RR-/MDR-TB,2010,2010,2010,AFR,Africa,KEN,Kenya,249,249,,"
"TB_c_newinc,Tuberculosis - new and relapse cases,2006,2006,2006,AFR,Africa,KEN,Kenya,108342,108342,,"
